service_id,date,exception_type
632014_000,20260405,1
632019_000,20260405,2
632003_000,20260322,1
632019_000,20260322,2
632008_000,20260329,1
632019_000,20260329,2
632008_000,20260412,1
632019_000,20260412,2
632008_000,20260419,1
632019_000,20260419,2
632020_000,20260427,1
632009_000,20260427,2
632004_000,20260323,1
632009_000,20260323,2
632008_000,20260406,1
632009_000,20260406,2
632005_000,20260324,1
632010_000,20260324,2
632015_000,20260407,1
632010_000,20260407,2
632021_000,20260428,1
632010_000,20260428,2
632005_000,20260325,1
632010_000,20260325,2
632021_000,20260429,1
632010_000,20260429,2
632006_000,20260326,1
632016_000,20260326,2
632022_000,20260430,1
632016_000,20260430,2
632011_000,20260402,1
632016_000,20260402,2
632024_000,20260507,1
632016_000,20260507,2
632024_000,20260514,1
632016_000,20260514,2
632001_000,20260320,1
632018_000,20260320,2
632001_000,20260327,1
632018_000,20260327,2
632012_000,20260403,1
632018_000,20260403,2
632017_000,20260410,1
632018_000,20260410,2
632017_000,20260417,1
632018_000,20260417,2
632019_000,20260501,1
632018_000,20260501,2
632007_000,20260328,1
632025_000,20260328,2
632007_000,20260411,1
632025_000,20260411,2
632007_000,20260418,1
632025_000,20260418,2
632013_000,20260404,1
632025_000,20260404,2
632002_000,20260321,1
632025_000,20260321,2
632019_000,20260425,1
632025_000,20260425,2
632023_000,20260502,1
632025_000,20260502,2
