stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
5001,"Lido S.M.E. ""B""",45.417992,12.368725,5001,,1,,,,,,,,,,,,
5002,"Lido S.M.E. ""C""",45.417683,12.368217,5002,,1,,,,,,,,,,,,
5003,"Lido S.M.E. ""D""",45.417480,12.367735,5003,,1,,,,,,,,,,,,
5004,"S.Elena-Stadio Penzo ""B""",45.425320,12.360782,5004,,1,,,,,,,,,,,,
5005,"S.Elena-Stadio Penzo ""C""",45.425426,12.360565,5005,,1,,,,,,,,,,,,
5006,"Giardini Biennale ""B""",45.429047,12.355934,5006,,1,,,,,,,,,,,,
5007,"Giardini ""B""",45.429848,12.354835,5007,,1,,,,,,,,,,,,
5008,"Arsenale ""A""",45.432774,12.348552,5008,,1,,,,,,,,,,,,
5009,"S. Marco-San Zaccaria ""A""",45.433395,12.344964,5009,,1,,,,,,,,,,,,
5011,"S. Marco-San Zaccaria ""D""",45.433456,12.342809,5011,,1,,,,,,,,,,,,
5012,"S. Marco-San Zaccaria ""C""",45.433491,12.343048,5012,,1,,,,,,,,,,,,
5013,"S. Marco-San Zaccaria ""F""",45.433342,12.342007,5013,,1,,,,,,,,,,,,
5014,"S. Marco-San Zaccaria ""E""",45.433384,12.342215,5014,,1,,,,,,,,,,,,
5015,S. Marta,45.433571,12.311260,5015,,1,,,,,,,,,,,,
5018,Certosa,45.430523,12.367644,5018,,1,,,,,,,,,,,,
5019,Celestia,45.439079,12.349658,5019,,1,,,,,,,,,,,,
5020,Ospedale,45.440880,12.344753,5020,,1,,,,,,,,,,,,
5021,S. Giorgio,45.429470,12.342235,5021,,1,,,,,,,,,,,,
5022,"Giudecca Palanca ""B""",45.426849,12.325638,5022,,1,,,,,,,,,,,,
5023,"Sacca Fisola ""A""",45.429008,12.315648,5023,,1,,,,,,,,,,,,
5024,"Tronchetto ""B""",45.440094,12.306348,5024,,1,,,,,,,,,,,,
5025,"Tronchetto ""A""",45.440308,12.306533,5025,,1,,,,,,,,,,,,
5026,Tronchetto Ferry,45.438023,12.303988,5026,,1,,,,,,,,,,,,
5027,"P.le Roma ""C""",45.439850,12.317839,5027,,1,,,,,,,,,,,,
5028,"P.le Roma ""E""",45.439388,12.318463,5028,,1,,,,,,,,,,,,
5029,"P.le Roma ""D""",45.439556,12.318337,5029,,1,,,,,,,,,,,,
5030,"P.le Roma ""F""",45.438923,12.318830,5030,,1,,,,,,,,,,,,
5031,"P.le Roma ""G""",45.438816,12.319038,5031,,1,,,,,,,,,,,,
5032,"Ferrovia ""B""",45.440937,12.322042,5032,,1,,,,,,,,,,,,
