route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1,632001_000,86,"Lido S.M.E. ""D""",,0,100003,1001_0_1,
1,632001_000,263,"Lido S.M.E. ""D""",,0,100009,1001_0_1,
1,632001_000,292,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632001_000,466,"Lido S.M.E. ""D""",,0,100019,1001_0_1,
1,632001_000,758,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632001_000,797,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632002_000,2100,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,632002_000,2147,"Lido S.M.E. ""D""",,0,100003,1001_0_1,
1,632002_000,2152,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632002_000,2275,"Lido S.M.E. ""D""",,0,100009,1001_0_1,
1,632002_000,2393,"Lido S.M.E. ""D""",,0,100022,1001_0_1,
1,632002_000,2430,"Lido S.M.E. ""D""",,0,100024,1001_0_1,
1,632002_000,2491,"Lido S.M.E. ""D""",,0,100027,1001_0_1,
1,632002_000,2495,"Lido S.M.E. ""D""",,0,100027,1001_0_1,
1,632003_000,3698,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,632003_000,3745,"Lido S.M.E. ""D""",,0,100003,1001_0_1,
1,632003_000,3750,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632003_000,3873,"Lido S.M.E. ""D""",,0,100009,1001_0_1,
1,632003_000,3991,"Lido S.M.E. ""D""",,0,100022,1001_0_1,
1,632003_000,4028,"Lido S.M.E. ""D""",,0,100024,1001_0_1,
1,632003_000,4089,"Lido S.M.E. ""D""",,0,100027,1001_0_1,
1,632003_000,4093,"Lido S.M.E. ""D""",,0,100027,1001_0_1,
1,632004_000,5165,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,632004_000,5212,"Lido S.M.E. ""D""",,0,100003,1001_0_1,
1,632004_000,5217,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632004_000,5340,"Lido S.M.E. ""D""",,0,100009,1001_0_1,
1,632004_000,5458,"Lido S.M.E. ""D""",,0,100022,1001_0_1,
1,632004_000,5495,"Lido S.M.E. ""D""",,0,100024,1001_0_1,
1,632004_000,5556,"Lido S.M.E. ""D""",,0,100027,1001_0_1,
1,632004_000,5560,"Lido S.M.E. ""D""",,0,100027,1001_0_1,
1,632005_000,6847,"Lido S.M.E. ""D""",,0,100003,1001_0_1,
1,632005_000,7024,"Lido S.M.E. ""D""",,0,100009,1001_0_1,
1,632005_000,7053,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632005_000,7227,"Lido S.M.E. ""D""",,0,100019,1001_0_1,
1,632005_000,7519,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632005_000,7558,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632006_000,8935,"Lido S.M.E. ""D""",,0,100003,1001_0_1,
1,632006_000,9112,"Lido S.M.E. ""D""",,0,100009,1001_0_1,
1,632006_000,9141,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632006_000,9315,"Lido S.M.E. ""D""",,0,100019,1001_0_1,
1,632006_000,9607,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632006_000,9646,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632007_000,10999,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632007_000,11059,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632007_000,11091,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632007_000,11229,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632007_000,11684,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632007_000,11722,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632008_000,13210,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632008_000,13270,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632008_000,13302,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632008_000,13440,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632008_000,13892,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632008_000,13930,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632009_000,15375,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632009_000,15435,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632009_000,15467,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632009_000,15605,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632009_000,16074,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632009_000,16112,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632010_000,17627,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632010_000,17687,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632010_000,17719,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632010_000,17857,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632010_000,18326,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632010_000,18364,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632011_000,19869,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632011_000,19929,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632011_000,19961,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632011_000,20099,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632011_000,20565,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632011_000,20603,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632012_000,22110,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632012_000,22170,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632012_000,22202,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632012_000,22340,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632012_000,22806,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632012_000,22844,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632013_000,24359,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632013_000,24419,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632013_000,24451,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632013_000,24589,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632013_000,25041,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632013_000,25079,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632014_000,26567,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632014_000,26627,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632014_000,26659,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632014_000,26797,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632014_000,27249,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632014_000,27287,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632015_000,28732,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632015_000,28792,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632015_000,28824,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632015_000,28962,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632015_000,29428,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
1,632015_000,29466,"Lido S.M.E. ""D""",,0,100095,1001_0_1,
1,632016_000,30971,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,632016_000,31031,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,632016_000,31063,"Lido S.M.E. ""D""",,0,100005,1001_0_1,
1,632016_000,31201,"Lido S.M.E. ""D""",,0,100010,1001_0_1,
1,632016_000,31670,"Lido S.M.E. ""D""",,0,100091,1001_0_1,
